source_id,campus,sentence_index,sentence_id,sentence,ideological,ideological_score,institutionalized,institutionalized_score,interpersonal,interpersonal_score,internalized,internalized_score,primary_leaning,rationale,gemini_raw,reviewed,review_notes
3,Dominguez Hills,0,3_0,It was great being able to reflect on the identity map.,0,0.0,0,0.0,0,0.0,0,0.0,none,The sentence reflects on an activity but does not mention any form of oppression.,"{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence reflects on an activity but does not mention any form of oppression.""
}",0,
3,Dominguez Hills,1,3_1,I brought up some powerful memories that have shaped who I am.,0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence describes personal memories shaping identity, but does not explicitly mention any form of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes personal memories shaping identity, but does not explicitly mention any form of oppression.""
}",0,
3,Dominguez Hills,2,3_2,I immigrated to this country as a young adult.,0,0.0,0,0.0,0,0.0,0,0.0,none,This sentence is a statement of fact about personal history and does not express or imply any form of oppression.,"{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""This sentence is a statement of fact about personal history and does not express or imply any form of oppression.""
}",0,
3,Dominguez Hills,3,3_3,"Coming here, I was color blind.",1,0.7,0,0.0,0,0.0,0,0.0,ideological,"The phrase 'color blind' reflects an ideological belief system that ignoring race will lead to equality, which can perpetuate inequality by overlooking systemic racism and its effects.","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.7,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The phrase 'color blind' reflects an ideological belief system that ignoring race will lead to equality, which can perpetuate inequality by overlooking systemic racism and its effects.""
}",0,
3,Dominguez Hills,4,3_4,I believed that all people deserved the same respect regardless of how we look on the outside.,0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence expresses a belief in equality and respect for all people, which is a positive value but does not directly describe or lean towards any of the four forms of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence expresses a belief in equality and respect for all people, which is a positive value but does not directly describe or lean towards any of the four forms of oppression.""
}",0,
3,Dominguez Hills,5,3_5,I soon learned to see color.,1,0.6,0,0.0,0,0.0,0,0.0,ideological,"The sentence suggests a learned perception of 'color' which often relates to societal constructs and dominant narratives about race and difference, fitting ideological oppression.","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.6,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence suggests a learned perception of 'color' which often relates to societal constructs and dominant narratives about race and difference, fitting ideological oppression.""
}",0,
3,Dominguez Hills,6,3_6,"I learned to see the struggles of minority groups, colorism, sexism, and the inequality of resources attached to all these “isms.” As a young adult, I learned I was a minority, Brown, with an accent, which I was shamed for numerous times.",1,0.8,0,0.1,1,0.7,1,0.9,internalized,"The sentence describes learning about systemic issues (ideological), experiencing personal shame and mistreatment (interpersonal), and internalizing that shame about identity (internalized). The strongest leaning is toward internalized oppression due to the explicit mention of shame and the impact on self-perception.","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 1,
  ""ideological_score"": 0.8,
  ""institutionalized_score"": 0.1,
  ""interpersonal_score"": 0.7,
  ""internalized_score"": 0.9,
  ""primary_leaning"": ""internalized"",
  ""rationale"": ""The sentence describes learning about systemic issues (ideological), experiencing personal shame and mistreatment (interpersonal), and internalizing that shame about identity (internalized). The strongest leaning is toward internalized oppression due to the explicit mention of shame and the impact on self-perception.""
}",0,
3,Dominguez Hills,7,3_7,"I experienced how it felt to be discriminated against, stereotyped because I am Mexican, and looked at as less deserving.",1,0.7,0,0.0,1,0.7,0,0.0,ideological,"The sentence describes experiencing discrimination and stereotyping based on ethnicity, which reflects both dominant negative beliefs (ideological) and how those beliefs manifest in person-to-person interactions (interpersonal).","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 0,
  ""ideological_score"": 0.7,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.7,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological/interpersonal"",
  ""rationale"": ""The sentence describes experiencing discrimination and stereotyping based on ethnicity, which reflects both dominant negative beliefs (ideological) and how those beliefs manifest in person-to-person interactions (interpersonal).""
}",0,
3,Dominguez Hills,8,3_8,"Nonetheless, I have also found kind and supportive people in my journey.",0,0.0,0,0.0,0,0.0,0,0.0,none,The sentence describes positive personal interactions without referencing any form of oppression.,"{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes positive personal interactions without referencing any form of oppression.""
}",0,
3,Dominguez Hills,9,3_9,"I educated myself, and here I am, doing my best to teach and support my students.",0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence describes personal effort and dedication to teaching and supporting students, without explicitly referencing any form of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence describes personal effort and dedication to teaching and supporting students, without explicitly referencing any form of oppression.""
}",0,
3,Dominguez Hills,10,3_10,This exercise has brought back some difficult memories and the realization that healing does not mean the memory does not have an emotional impact on me.,0,0.0,0,0.0,0,0.0,1,0.7,internalized,"The sentence describes the emotional impact of memories and the process of healing, which relates to the internal experience of dealing with past events and their lingering effects on the self.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 1,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.7,
  ""primary_leaning"": ""internalized"",
  ""rationale"": ""The sentence describes the emotional impact of memories and the process of healing, which relates to the internal experience of dealing with past events and their lingering effects on the self.""
}",0,
3,Dominguez Hills,11,3_11,"This is the most important realization for me because when we do this type of exercise with our students, we never know what will be triggered within them, and if that is the case, how can I tell if they do not reach out and how can I support them aside from providing resources in Canvas and remind them to be kind to themselves.",0,0.0,0,0.0,1,0.7,0,0.0,interpersonal,"The sentence discusses the potential for 'triggers' in students during exercises and the educator's concern about how to support them, which points to interpersonal interactions and the potential for mistreatment or lack of adequate support in a person-to-person context.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.7,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""interpersonal"",
  ""rationale"": ""The sentence discusses the potential for 'triggers' in students during exercises and the educator's concern about how to support them, which points to interpersonal interactions and the potential for mistreatment or lack of adequate support in a person-to-person context.""
}",0,
4,Dominguez Hills,0,4_0,"I noticed that it was easy for me to identify elements of me better than before I pursued academia, and feel affirmed in who I am today.",0,0.0,0,0.0,0,0.0,1,0.7,internalized,"The sentence describes a personal feeling of affirmation and self-identification, which can be a result of overcoming internalized oppression or negative societal narratives about one's identity.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 1,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.7,
  ""primary_leaning"": ""internalized"",
  ""rationale"": ""The sentence describes a personal feeling of affirmation and self-identification, which can be a result of overcoming internalized oppression or negative societal narratives about one's identity.""
}",0,
4,Dominguez Hills,1,4_1,Ageism is something that has always impacted me.,1,0.7,0,0.0,1,0.6,1,0.7,ideological,"The sentence directly mentions 'ageism,' which is a dominant belief system (ideological oppression). The phrase 'has always impacted me' suggests ongoing personal experiences (interpersonal oppression) and potentially a sense of being affected by these beliefs (internalized oppression).","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 1,
  ""ideological_score"": 0.7,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.6,
  ""internalized_score"": 0.7,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence directly mentions 'ageism,' which is a dominant belief system (ideological oppression). The phrase 'has always impacted me' suggests ongoing personal experiences (interpersonal oppression) and potentially a sense of being affected by these beliefs (internalized oppression).""
}",0,
4,Dominguez Hills,2,4_2,"In my professional career, I am often the youngest in a particular space (I know this will not always be the case) and experience peers who are older calling me ""sweetie.""",0,0.0,0,0.0,1,0.7,0,0.0,interpersonal,"The sentence describes a person-to-person interaction where an older peer uses a condescending term ('sweetie'), which is a form of interpersonal mistreatment and bias.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.7,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""interpersonal"",
  ""rationale"": ""The sentence describes a person-to-person interaction where an older peer uses a condescending term ('sweetie'), which is a form of interpersonal mistreatment and bias.""
}",0,
4,Dominguez Hills,3,4_3,"When it comes to students or direct reports, this is not the case, however it comes from peers who are older than me.",0,0.0,0,0.0,1,0.7,0,0.0,interpersonal,"The sentence describes a situation where the speaker experiences negative interactions or treatment from peers, which falls under interpersonal oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.7,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""interpersonal"",
  ""rationale"": ""The sentence describes a situation where the speaker experiences negative interactions or treatment from peers, which falls under interpersonal oppression.""
}",0,
4,Dominguez Hills,4,4_4,"While the intent might not be ill, the tone feels condescending.",0,0.0,0,0.0,1,0.8,0,0.0,interpersonal,"The sentence describes a person-to-person interaction where one person's tone is perceived as condescending, which falls under interpersonal oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.8,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""interpersonal"",
  ""rationale"": ""The sentence describes a person-to-person interaction where one person's tone is perceived as condescending, which falls under interpersonal oppression.""
}",0,
4,Dominguez Hills,5,4_5,I have learned to be confident in my own assets and still be open to learning from them despite the feeling of being perceived as not yet as experienced.,0,0.0,0,0.0,1,0.6,1,0.7,internalized,The sentence describes a feeling of being perceived as less experienced by others (interpersonal) and the internal struggle to maintain confidence despite this perception (internalized).,"{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 1,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.6,
  ""internalized_score"": 0.7,
  ""primary_leaning"": ""internalized"",
  ""rationale"": ""The sentence describes a feeling of being perceived as less experienced by others (interpersonal) and the internal struggle to maintain confidence despite this perception (internalized).""
}",0,
4,Dominguez Hills,6,4_6,It also made me think about others parts of me that I have yet to unpack and how they have influenced me.,0,0.0,0,0.0,0,0.0,1,0.7,internalized,"The sentence reflects on personal identity and past influences, suggesting a process of self-discovery and potential unpacking of aspects of the self that may have been shaped by external factors or societal norms, which aligns with internalized oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 1,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.7,
  ""primary_leaning"": ""internalized"",
  ""rationale"": ""The sentence reflects on personal identity and past influences, suggesting a process of self-discovery and potential unpacking of aspects of the self that may have been shaped by external factors or societal norms, which aligns with internalized oppression.""
}",0,
4,Dominguez Hills,7,4_7,"My ethnicity has been of influence in my life, but it was not until in recent years that I have reflected on its impact on me.",0,0.0,0,0.0,0,0.0,0,0.0,none,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",,0,
4,Dominguez Hills,8,4_8,I have constantly felt that where I grew up and my sibling order as the oldest have been the larger influencers into who I am today and how I carry myself as an individual and educator.,0,0.0,0,0.0,0,0.0,0,0.0,none,"The sentence reflects on personal background (where they grew up, sibling order) as influencers on their identity and self-presentation as an individual and educator. It does not clearly lean toward any of the four forms of oppression.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence reflects on personal background (where they grew up, sibling order) as influencers on their identity and self-presentation as an individual and educator. It does not clearly lean toward any of the four forms of oppression.""
}",0,
4,Dominguez Hills,9,4_9,"With time, I have seen how being a Latina has also impacted me in terms of how I show up today, but not to the extent that my hometown and sibling order have shaped me.",1,0.6,0,0.0,0,0.0,1,0.6,ideological,"The sentence reflects on how being Latina (an identity often subject to ideological oppression through stereotypes and dominant narratives) has impacted the speaker, and how this impact is internalized. However, it also notes that other factors (hometown, sibling order) have had a greater shaping influence, suggesting the ideological and internalized impact of being Latina is present but not the sole or dominant factor.","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 1,
  ""ideological_score"": 0.6,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.6,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence reflects on how being Latina (an identity often subject to ideological oppression through stereotypes and dominant narratives) has impacted the speaker, and how this impact is internalized. However, it also notes that other factors (hometown, sibling order) have had a greater shaping influence, suggesting the ideological and internalized impact of being Latina is present but not the sole or dominant factor.""
}",0,
4,Dominguez Hills,10,4_10,I identify as Mexican-American and Latina.,0,0.0,0,0.0,0,0.0,0,0.0,none,The sentence is a statement of identity without any indication of oppression.,"{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence is a statement of identity without any indication of oppression.""
}",0,
4,Dominguez Hills,11,4_11,It took some time to come to this version of my identity because I often was labeled as not being “Mexican” enough.,1,0.7,0,0.0,1,0.6,0,0.0,ideological,"The sentence describes a personal experience of not being considered 'Mexican enough,' which points to dominant cultural narratives (ideological) and potentially judgment from others (interpersonal) about identity authenticity.","{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 1,
  ""internalized"": 0,
  ""ideological_score"": 0.7,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.6,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence describes a personal experience of not being considered 'Mexican enough,' which points to dominant cultural narratives (ideological) and potentially judgment from others (interpersonal) about identity authenticity.""
}",0,
4,Dominguez Hills,12,4_12,It was through my involvement in different Latina affinity groups that I stepped into my own version of who I am as a Latina/Mexican-American.,0,0.0,0,0.0,0,0.0,1,0.7,internalized,"The sentence describes a process of self-discovery and identity formation ('stepped into my own version of who I am') which can be a result of internalizing dominant narratives about identity and then actively working to define oneself outside of those narratives. While not explicitly stating shame or self-doubt, the act of finding one's 'own version' implies a prior state of not fully embodying or accepting an identity, potentially due to societal pressures or stereotypes.","{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 1,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.7,
  ""primary_leaning"": ""internalized"",
  ""rationale"": ""The sentence describes a process of self-discovery and identity formation ('stepped into my own version of who I am') which can be a result of internalizing dominant narratives about identity and then actively working to define oneself outside of those narratives. While not explicitly stating shame or self-doubt, the act of finding one's 'own version' implies a prior state of not fully embodying or accepting an identity, potentially due to societal pressures or stereotypes.""
}",0,
4,Dominguez Hills,13,4_13,Growing up in the city of Compton as a Latina female has had the strongest impact on who I am today.,1,0.6,0,0.0,0,0.0,0,0.0,ideological,The sentence reflects on how the dominant narratives and stereotypes associated with being a Latina female in a specific urban environment (Compton) have shaped the individual's identity. This leans towards ideological oppression as it touches upon societal beliefs and cultural narratives that can influence self-perception.,"{
  ""ideological"": 1,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.6,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence reflects on how the dominant narratives and stereotypes associated with being a Latina female in a specific urban environment (Compton) have shaped the individual's identity. This leans towards ideological oppression as it touches upon societal beliefs and cultural narratives that can influence self-perception.""
}",0,
4,Dominguez Hills,14,4_14,My drive to be an educator and to fight for equitable access to education and financial stability comes from my experiences under these two identities.,1,0.7,1,0.7,0,0.0,0,0.0,ideological,"The sentence connects the drive for equitable access to education and financial stability to personal experiences related to 'two identities,' suggesting a belief system (ideological) and systemic barriers (institutionalized) that create inequity. The focus is on systemic issues rather than person-to-person interactions or internalized feelings.","{
  ""ideological"": 1,
  ""institutionalized"": 1,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.7,
  ""institutionalized_score"": 0.7,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""ideological"",
  ""rationale"": ""The sentence connects the drive for equitable access to education and financial stability to personal experiences related to 'two identities,' suggesting a belief system (ideological) and systemic barriers (institutionalized) that create inequity. The focus is on systemic issues rather than person-to-person interactions or internalized feelings.""
}",0,
4,Dominguez Hills,15,4_15,"I take great pride in my Mexican heritage, and also in my ability to embrace my privileges as an American.",0,0.0,0,0.0,0,0.0,0,0.0,none,The sentence expresses pride in heritage and acknowledges privilege without referencing any form of oppression.,"{
  ""ideological"": 0,
  ""institutionalized"": 0,
  ""interpersonal"": 0,
  ""internalized"": 0,
  ""ideological_score"": 0.0,
  ""institutionalized_score"": 0.0,
  ""interpersonal_score"": 0.0,
  ""internalized_score"": 0.0,
  ""primary_leaning"": ""none"",
  ""rationale"": ""The sentence expresses pride in heritage and acknowledges privilege without referencing any form of oppression.""
}",0,
