sentence,Labels,Confidence,Reasoning
I also identify with the geographic aspect.,Ideological,0.65,The text reflects a personal narrative and belief system regarding how geography shapes one's sense of identity.
"I have lived in different countries during my childhood, which is called formative years.",Ideological,0.3,"The text references a common cultural narrative and social assumption that childhood is defined as ""formative years."""
What this exercise helped me to realize is how contingent our identities can be on the context and on one another (intersectionality matters).,Ideological,0.85,The text describes a realization regarding the conceptual framework of intersectionality and the assumptions surrounding how identities are constructed within social contexts.
I am the only daughter in my family and have two older brothers.,Institutionalized,0.6,"The text describes the structural composition of a family unit, which is a primary social institution."
Gender: Male,Institutionalized,0.7,The text represents a standardized demographic category used in official practices and systems for classification.
Education: First to obtain Phd degree in my generation (Canada),Institutionalized,0.85,"The text refers to the attainment of a PhD, which is an official credential earned through formal educational systems and institutional structures."
I do think that something like income might be included on the list.,Institutionalized,0.85,Income is a structural factor related to resource allocation and systemic categorization within official practices or policies.
After this exercise I did notice how much I rely on my clan network also known as k'é.,Institutionalized,0.8,The text refers to a clan network (k'é) as a social system and structure of organization that the individual relies upon for support.
I have learned to be confident in my own assets and still be open to learning from them despite the feeling of being perceived as not yet as experienced.,Internalized,0.9,The text describes the speaker's internal process of overcoming self-doubt and building personal confidence in response to how they feel they are perceived by others.
"For this exercise, I noticed a connection that started in my early years when I felt not good enough about fitting into the mold of what a woman should be (according to family members) and not feeling good enough or smart enough as a faculty member.",Internalized,0.95,The text explicitly describes personal feelings of self-doubt and inadequacy regarding gender roles and professional capability.
"For myself, when we were prompted to think about our religious background, I thought about how I spent quite a bit of time within evangelical Christian communities all throughout my youth, but I don't spend time within (or even think about) these communities anymore; however, those experiences are a core part of who I am now.",Internalized,0.85,The speaker describes how past religious experiences and community involvement have become a core part of their personal identity and internal self-concept.
"I soon realized after the conversation in the live community of practice zoom session, that I don’t know if I have earned that description or if that is how I am perceived.",Internalized,0.9,The speaker expresses self-doubt and internal uncertainty regarding their own merit and identity.
I perceive myself as a friend and supporter of the LGBTQI+ community and wanted to identify as an advocate for the community.,Internalized,0.9,The text focuses on the individual's internal self-perception and personal identity formation regarding their relationship to a marginalized community.
"Age: 56 years, my son calls me old a number of times in a month",Interpersonal,0.95,The text describes a direct verbal interaction and recurring personal comment between two individuals (parent and son).
"From my child's personal experience, I can relate to this.",Interpersonal,0.6,"The reference to a ""personal experience"" typically signifies a direct lived event or interaction an individual has had with others."
"I mostly occupy privileged identity positions, but I did reflect on how my gender identity (female) has been a source of violence in my life as others question / challenge my gender identity; I fall outside the normative expectations for womanhood based on height, strength etc.",Interpersonal,0.9,"The text describes direct interactions where others question or challenge the individual's identity, constituting interpersonal exclusion or conflict."
Thank you!,Interpersonal,0.95,The text is a direct communicative interaction and social exchange between individuals.
Thanks again!,Interpersonal,0.95,This text represents a direct social interaction and communication between individuals.
