Sentence,Label,data_source
The idea that white history is universal history makes everyone else’s history seem optional.,ideological,base_synthetic
She was made to feel that her traditional clothing was costume-like while Western clothing was simply normal.,ideological,base_synthetic
Some people assume that queer identities are modern trends rather than real human experiences.,ideological,base_synthetic
I noticed how men’s anger was seen as strength while women’s anger was treated as instability.,ideological,base_synthetic
The belief that citizenship determines human worth makes migrants seem less deserving of dignity.,ideological,base_synthetic
People often rank religions by how closely they resemble dominant cultural beliefs.,ideological,base_synthetic
The assumption that people with disabilities are burdens reflects a narrow idea of productivity and value.,ideological,base_synthetic
I used to think success meant becoming acceptable to people who looked down on my community.,ideological,base_synthetic
The stereotype that Asian students are naturally obedient and high-achieving erases their individuality.,ideological,base_synthetic
"Many people believe professionalism requires hiding cultural identity, emotion, disability, or difference.",ideological,base_synthetic
The idea that poor neighborhoods produce inferior people justifies fear instead of understanding.,ideological,base_synthetic
She heard that women were too sensitive for leadership so often that confidence began to feel unnatural.,ideological,base_synthetic
The belief that some bodies are more respectable than others shapes who is taken seriously.,ideological,base_synthetic
People often treat colonial languages as sophisticated and Indigenous languages as outdated.,ideological,base_synthetic
I noticed that being close to whiteness was treated as a kind of social achievement.,ideological,base_synthetic
The assumption that men are naturally aggressive excuses behavior that would be criticized in anyone else.,ideological,base_synthetic
Many people see disability through pity because they assume a disabled life is automatically less meaningful.,ideological,base_synthetic
The belief that immigrants must erase their culture to belong makes belonging conditional.,ideological,base_synthetic
She realized that her community’s food was mocked until it became popular among wealthier people.,ideological,base_synthetic
The idea that poor people should be grateful for less reveals a belief that comfort belongs mainly to the privileged.,ideological,base_synthetic
People often assume that women who choose not to marry or have children are incomplete.,ideological,base_synthetic
"I noticed that my culture was described as loud, emotional, or excessive while dominant culture was called confident.",ideological,base_synthetic
The belief that English fluency equals intelligence makes multilingual people seem less capable when they are still learning.,ideological,base_synthetic
Some people treat Christianity as the moral center and other religions as strange or threatening.,ideological,base_synthetic
The assumption that lighter skin is cleaner or more refined reflects a deep ranking of human worth.,ideological,base_synthetic
"He grew up believing that real men should never show fear, softness, or dependence.",ideological,base_synthetic
The idea that certain countries are “developed” because their people are superior ignores histories of exploitation.,ideological,base_synthetic
People often view trans identities as confusion because they assume gender must fit one fixed model.,ideological,base_synthetic
I realized that my neighborhood was seen as dangerous before anyone cared about the people living there.,ideological,base_synthetic
The stereotype that Native communities belong only to the past makes their present lives invisible.,ideological,base_synthetic
"Many people assume that wealth signals virtue, discipline, and better decision-making.",ideological,base_synthetic
The belief that women’s bodies exist for judgment makes their appearance seem open to public evaluation.,ideological,base_synthetic
"She was praised for being “not like other girls,” as if femininity itself was something inferior.",ideological,base_synthetic
The idea that darker skin means toughness or danger shapes how people are imagined before they are known.,ideological,base_synthetic
People often treat non-Western healing practices as superstition while accepting Western medicine as inherently rational.,ideological,base_synthetic
"I noticed that my parents’ sacrifices were seen as ordinary labor, while similar efforts by wealthy families were called dedication.",ideological,base_synthetic
The assumption that queer people must justify their identity comes from treating straightness as the unquestioned norm.,ideological,base_synthetic
Many people believe that academic language is superior to community knowledge.,ideological,base_synthetic
The stereotype that Latino men are aggressive and Latina women are submissive reduces entire communities to narrow roles.,ideological,base_synthetic
The belief that fat people lack self-control makes their bodies seem like public evidence of character.,ideological,base_synthetic
She felt pressure to sound less “ethnic” because people associated her voice with lower status.,ideological,base_synthetic
The idea that some people are naturally meant to lead and others to serve is at the center of many inequalities.,ideological,base_synthetic
People often treat accessibility as special treatment because they assume the able-bodied experience is the standard.,ideological,base_synthetic
I was taught that success meant leaving behind the customs that made my family recognizable.,ideological,base_synthetic
The belief that men are better at science and technology discourages girls before their abilities are even tested.,ideological,base_synthetic
Many people imagine refugees as helpless or suspicious rather than as complex people with skills and histories.,ideological,base_synthetic
The assumption that dominant beauty standards are universal makes other features seem less desirable.,ideological,base_synthetic
"She noticed that confidence in a white coworker was called leadership, while the same confidence in her was called attitude.",ideological,base_synthetic
The idea that certain groups need to be “civilized” reveals a belief in cultural superiority.,ideological,base_synthetic
People often frame unemployment as laziness while ignoring how class shapes access to opportunity.,ideological,base_synthetic
I realized that being treated as “articulate” often meant people expected less from someone who looked like me.,ideological,base_synthetic
The belief that mothers should sacrifice everything makes women’s personal goals seem less important.,ideological,base_synthetic
"Many people assume that people without college degrees are less intelligent, even when they have deep practical knowledge.",ideological,base_synthetic
The stereotype that bisexual people are confused comes from the belief that only fixed categories are legitimate.,ideological,base_synthetic
The idea that dominant groups are neutral while marginalized groups are “political” shapes whose identity is considered normal.,ideological,base_synthetic
He learned to hide his family’s traditions because classmates treated them as signs of being less modern.,ideological,base_synthetic
"The belief that one group’s language, body, religion, or culture is the standard makes everyone else seem like they must prove their worth.",ideological,base_synthetic
"The school’s advanced placement tracks seem open to everyone on paper, but students from wealthier neighborhoods are the ones who consistently get placed into them.",institutionalized,base_synthetic
I realized that the hospital’s intake forms did not even give my gender identity a place to exist.,institutionalized,base_synthetic
"The company says promotions are merit-based, yet the leadership pipeline depends heavily on unpaid networking events after hours.",institutionalized,base_synthetic
"Public transportation cuts in our area made it harder for low-income residents to reach jobs, clinics, and grocery stores.",institutionalized,base_synthetic
My grandmother’s accent made the citizenship process more intimidating because the office offered almost no language support.,institutionalized,base_synthetic
"The university claims to support disabled students, but every accommodation requires weeks of paperwork before basic access is granted.",institutionalized,base_synthetic
Loan policies made it easier for my classmates with family wealth to start businesses while others were treated as financial risks.,institutionalized,base_synthetic
The hiring algorithm seemed neutral until we learned it had been trained on resumes from a workforce that excluded people like me.,institutionalized,base_synthetic
"In our district, schools with mostly Black and brown students had outdated textbooks while nearby schools had robotics labs.",institutionalized,base_synthetic
The shelter’s rules unintentionally excluded trans people by forcing everyone into gender categories that did not fit them.,institutionalized,base_synthetic
I noticed that unpaid internships quietly decide who gets a career start and who cannot afford to participate.,institutionalized,base_synthetic
"The court system expected people to appear during work hours, even when missing a shift could mean losing their job.",institutionalized,base_synthetic
"Our neighborhood received slower emergency response times, and everyone treated it like that was just how the system worked.",institutionalized,base_synthetic
"The bank denied mortgages in areas where immigrant families lived, even when applicants had steady incomes.",institutionalized,base_synthetic
A policy written as “professional appearance” ended up punishing natural hairstyles more than actual job performance.,institutionalized,base_synthetic
The school discipline code labeled the same behavior as “defiance” more often when it came from students of color.,institutionalized,base_synthetic
I saw how standardized testing rewarded students whose families could afford tutors and quiet study spaces.,institutionalized,base_synthetic
The city’s zoning decisions placed industrial sites near poor communities while wealthier areas stayed protected.,institutionalized,base_synthetic
"Medical research guidelines rarely considered people with my background, so treatment recommendations felt incomplete.",institutionalized,base_synthetic
"The office required government-issued identification for basic services, leaving undocumented residents without support.",institutionalized,base_synthetic
The university’s financial aid deadlines assumed every student had parents who could quickly provide tax documents.,institutionalized,base_synthetic
"The workplace offered parental leave, but only full-time salaried employees could actually use it.",institutionalized,base_synthetic
I began to understand how housing policies can trap families in underfunded schools for generations.,institutionalized,base_synthetic
The prison system treated addiction as a crime long before treatment was ever offered.,institutionalized,base_synthetic
The clinic’s online-only appointment system left out elderly patients and families without reliable internet.,institutionalized,base_synthetic
"Scholarship requirements favored students with long volunteer records, even though some students had to work to support their families.",institutionalized,base_synthetic
The police department’s patrol patterns made certain neighborhoods feel permanently under suspicion.,institutionalized,base_synthetic
The insurance company covered some medical needs easily but made mental health care difficult to access.,institutionalized,base_synthetic
My community college had fewer transfer counselors than the private university had career coaches.,institutionalized,base_synthetic
"The dress code was presented as neutral, but it reflected one culture’s idea of respectability.",institutionalized,base_synthetic
"When public benefits require complicated forms, the people who need help most are often the least able to complete them.",institutionalized,base_synthetic
The immigration office scheduled interviews in a way that forced families to choose between wages and legal status.,institutionalized,base_synthetic
"The school’s gifted program depended on teacher referrals, which meant bias could become part of the selection process.",institutionalized,base_synthetic
Rural students in my county had fewer college-prep resources because funding followed property values.,institutionalized,base_synthetic
"The hospital’s visitation policy ignored chosen family structures, especially for LGBTQ+ patients.",institutionalized,base_synthetic
I noticed that “open access” to campus resources meant little when the building had no working elevator.,institutionalized,base_synthetic
The company’s relocation policy favored employees who already had money to move before reimbursement.,institutionalized,base_synthetic
City planners approved parks and libraries in wealthier districts while our neighborhood kept waiting for basic repairs.,institutionalized,base_synthetic
The legal system moved faster for people who could afford private attorneys.,institutionalized,base_synthetic
The school cafeteria’s payment system publicly marked which students could not afford lunch.,institutionalized,base_synthetic
"The workplace required “local experience,” which blocked qualified immigrants from using their previous professional training.",institutionalized,base_synthetic
The university celebrated diversity in brochures while its admissions practices still favored legacy applicants.,institutionalized,base_synthetic
"Public health messages were distributed only in English, leaving many families without critical information.",institutionalized,base_synthetic
The agency’s background check policy made it hard for formerly incarcerated people to rebuild stable lives.,institutionalized,base_synthetic
The hospital’s pain assessment practices seemed to underestimate patients from certain racial groups.,institutionalized,base_synthetic
The school board’s funding formula treated unequal starting points as if they were equal.,institutionalized,base_synthetic
I saw how voter ID requirements created barriers for people without stable housing or transportation.,institutionalized,base_synthetic
"The company’s leadership training was invitation-only, and the invitations kept going to the same kind of employees.",institutionalized,base_synthetic
"The welfare office required repeated in-person visits, which punished people who lacked childcare or paid time off.",institutionalized,base_synthetic
"Disability support existed, but the process made students prove their needs over and over again.",institutionalized,base_synthetic
The curriculum treated European history as central and everyone else’s history as an optional unit.,institutionalized,base_synthetic
Public schools in my city were separated by housing patterns that earlier policies had helped create.,institutionalized,base_synthetic
"The hiring process valued elite university names more than skill, narrowing opportunity before interviews even began.",institutionalized,base_synthetic
The hospital assumed every patient had someone available to drive them home after treatment.,institutionalized,base_synthetic
The landlord screening system rejected applicants with housing vouchers before meeting them.,institutionalized,base_synthetic
The university’s complaint procedure was so confusing that many students gave up before reporting discrimination.,institutionalized,base_synthetic
The city’s budget choices showed which neighborhoods were considered worth investment.,institutionalized,base_synthetic
The workplace provided prayer space only after Muslim employees formally requested what others already had by default.,institutionalized,base_synthetic
The school’s attendance policy punished students who missed class because of unstable housing or family responsibilities.,institutionalized,base_synthetic
"The justice system required cash bail, turning poverty into pretrial detention.",institutionalized,base_synthetic
The library’s limited hours made it harder for working families to access computers and study spaces.,institutionalized,base_synthetic
"The medical forms assumed heterosexual relationships, making some patients explain their lives before receiving care.",institutionalized,base_synthetic
The college required expensive application fees that discouraged students from applying broadly.,institutionalized,base_synthetic
The company’s health plan excluded certain gender-affirming care while covering comparable procedures for others.,institutionalized,base_synthetic
The district placed newer teachers in schools with the highest needs and the fewest supports.,institutionalized,base_synthetic
The tax system gave homeowners advantages that renters in my community could never access.,institutionalized,base_synthetic
"The office promoted “culture fit,” but that phrase quietly protected the preferences of the existing leadership.",institutionalized,base_synthetic
The school’s language policy treated bilingual students as deficient instead of recognizing their skills.,institutionalized,base_synthetic
"The clinic’s location made sense for administrators, not for the patients who relied on buses.",institutionalized,base_synthetic
The foster care system separated siblings because institutional convenience mattered more than family bonds.,institutionalized,base_synthetic
The university’s study abroad scholarships favored students who could pay upfront and wait for reimbursement.,institutionalized,base_synthetic
"The city required permits for street vending, but the process was too expensive and complicated for immigrant vendors.",institutionalized,base_synthetic
The workplace measured productivity in ways that penalized employees managing chronic illness.,institutionalized,base_synthetic
The criminal record question on applications closed doors long after people had completed their sentences.,institutionalized,base_synthetic
"The school’s technology policy assumed every child had a laptop, Wi-Fi, and a quiet room at home.",institutionalized,base_synthetic
The hospital’s religious accommodations were handled as exceptions instead of normal patient needs.,institutionalized,base_synthetic
The organization’s recruitment strategy relied on professional networks that excluded first-generation graduates.,institutionalized,base_synthetic
The neighborhood’s lack of banks forced residents toward higher-fee financial services.,institutionalized,base_synthetic
The university’s research funding favored topics valued by powerful institutions over issues affecting marginalized communities.,institutionalized,base_synthetic
The state’s disability benefits system made people prove they were struggling while limiting how much they could earn.,institutionalized,base_synthetic
The school’s bathroom policy made daily attendance unsafe for some transgender students.,institutionalized,base_synthetic
The company’s unpaid training period screened out applicants who could not work without income.,institutionalized,base_synthetic
The county closed clinics in low-income areas and then blamed residents for poor health outcomes.,institutionalized,base_synthetic
"The admissions process rewarded extracurricular achievements that required money, transportation, and free time.",institutionalized,base_synthetic
The housing authority’s long waitlists made assistance feel theoretical rather than available.,institutionalized,base_synthetic
The legal documents were written in language so complex that only people with support could fully understand them.,institutionalized,base_synthetic
"The workplace’s “always available” expectation disadvantaged caregivers, disabled employees, and people working second jobs.",institutionalized,base_synthetic
The school resource officer program increased surveillance in some schools instead of increasing counseling support.,institutionalized,base_synthetic
The refugee services office expected families to navigate multiple agencies without translators or caseworkers.,institutionalized,base_synthetic
The company’s benefits package did not recognize domestic partnerships until employees pushed for policy changes.,institutionalized,base_synthetic
"The government website for aid applications was not accessible to screen readers, excluding people before they could even apply.",institutionalized,base_synthetic
The district’s property-tax funding model meant a child’s education depended heavily on neighborhood wealth.,institutionalized,base_synthetic
The medical residency selection process favored applicants who could afford unpaid research years.,institutionalized,base_synthetic
The prison phone system charged families high fees just to maintain contact with loved ones.,institutionalized,base_synthetic
The school’s zero-tolerance policy created a pipeline from minor rule violations to suspension and court involvement.,institutionalized,base_synthetic
"The city placed homeless services far from public transit, making help difficult to reach for the people it was meant to serve.",institutionalized,base_synthetic
The workplace’s English-only rule limited employees’ expression even when safety or performance was not affected.,institutionalized,base_synthetic
"The university offered mental health counseling, but the waitlist was so long that access depended on who could pay privately.",institutionalized,base_synthetic
The licensing board made foreign-trained professionals repeat years of education instead of fairly evaluating their experience.,institutionalized,base_synthetic
"The institution called its process equal because everyone filled out the same form, but the form ignored the unequal conditions people brought with them.",institutionalized,base_synthetic
I noticed how the cashier smiled at everyone ahead of me but became cold and suspicious when it was my turn.,interpersonal,base_synthetic
"He kept interrupting her during the meeting, then praised a male coworker for repeating the same idea.",interpersonal,base_synthetic
My classmate asked if I got into the program because of diversity rather than my qualifications.,interpersonal,base_synthetic
She laughed at my accent and told me my English was “surprisingly good.”,interpersonal,base_synthetic
They stopped inviting him to lunch after he mentioned that he was Muslim.,interpersonal,base_synthetic
A customer refused to let my coworker help them because she was wearing a hijab.,interpersonal,base_synthetic
"I felt embarrassed when someone grabbed my wheelchair without asking, as if my body was public property.",interpersonal,base_synthetic
"The group went quiet when I walked in, then continued the conversation in a way that made it clear I was not welcome.",interpersonal,base_synthetic
My supervisor kept calling me “young lady” even after I asked him to use my name.,interpersonal,base_synthetic
A teammate joked that I must be good at math because I am Asian.,interpersonal,base_synthetic
"She told me I did not “look disabled,” then questioned whether I really needed accommodations.",interpersonal,base_synthetic
He assumed I was the assistant instead of the project lead because I was the only woman in the room.,interpersonal,base_synthetic
My neighbor clutched her purse when my brother and I entered the elevator.,interpersonal,base_synthetic
They mocked his traditional clothing and called it a costume.,interpersonal,base_synthetic
A professor kept mispronouncing my name but learned everyone else’s names correctly.,interpersonal,base_synthetic
My coworker said I was “too emotional” after I calmly disagreed with his decision.,interpersonal,base_synthetic
The server ignored our table until my white friend asked for assistance.,interpersonal,base_synthetic
She asked my adopted child where he was “really from” in front of everyone.,interpersonal,base_synthetic
He told me I was “brave” for going out in public with a visible facial difference.,interpersonal,base_synthetic
My classmates treated me like a spokesperson for every immigrant experience.,interpersonal,base_synthetic
A stranger told us our relationship was “just a phase” when he saw me holding my boyfriend’s hand.,interpersonal,base_synthetic
She kept touching my hair without permission and acted offended when I pulled away.,interpersonal,base_synthetic
"The interviewer spoke slowly to me after hearing my last name, as though I could not understand basic questions.",interpersonal,base_synthetic
He made a joke about poor people being lazy while knowing I grew up in public housing.,interpersonal,base_synthetic
My lab partner refused to work with me because she believed women were not suited for technical tasks.,interpersonal,base_synthetic
They complimented my outfit by saying I looked “less ethnic” than usual.,interpersonal,base_synthetic
A man at the gym told my friend she was too strong-looking to be feminine.,interpersonal,base_synthetic
My roommate hid his religious items because visitors kept making rude comments about them.,interpersonal,base_synthetic
She assumed I was angry when I was simply explaining my point.,interpersonal,base_synthetic
"He asked whether my parents forced me into my cultural traditions, even though he barely knew me.",interpersonal,base_synthetic
The host seated us near the kitchen while giving better tables to other guests who arrived later.,interpersonal,base_synthetic
My coworker imitated my father’s accent for laughs during a staff meeting.,interpersonal,base_synthetic
They kept asking invasive questions about my body after learning I am transgender.,interpersonal,base_synthetic
A classmate said I was “articulate” in a tone that made it feel like an exception to what they expected.,interpersonal,base_synthetic
He refused to shake her hand because she was a woman.,interpersonal,base_synthetic
My friend was told she should straighten her hair to look more “professional.”,interpersonal,base_synthetic
The nurse spoke to my adult son instead of speaking directly to me because I use a communication device.,interpersonal,base_synthetic
Someone assumed I was in the building to clean it rather than attend the conference.,interpersonal,base_synthetic
She rolled her eyes when I mentioned dietary restrictions connected to my religion.,interpersonal,base_synthetic
My manager joked that older employees are bad with technology while assigning me the simplest tasks.,interpersonal,base_synthetic
He told my sister she was “too pretty” to be interested in engineering.,interpersonal,base_synthetic
A group of students moved away from me after hearing me speak Spanish on the phone.,interpersonal,base_synthetic
The coach praised aggressive behavior in boys but called the same behavior disrespectful when girls showed it.,interpersonal,base_synthetic
My coworker asked if my natural hairstyle was allowed under the company dress code.,interpersonal,base_synthetic
They treated my rural background like proof that I was uneducated.,interpersonal,base_synthetic
A stranger told my friend she should “go back” to a country she has never lived in.,interpersonal,base_synthetic
He kept asking who “the man” was in our relationship after learning we were both women.,interpersonal,base_synthetic
My classmates laughed when I could not afford to join their weekend trip.,interpersonal,base_synthetic
She assumed my silence meant I was submissive rather than simply uncomfortable.,interpersonal,base_synthetic
The security guard followed my cousin through the store while ignoring other shoppers.,interpersonal,base_synthetic
My professor dismissed my concern as “cultural sensitivity” instead of listening to what happened.,interpersonal,base_synthetic
"He told me I was “not like other Black people,” expecting me to take it as a compliment.",interpersonal,base_synthetic
A coworker said my lunch smelled weird and made a face in front of the whole break room.,interpersonal,base_synthetic
They spoke over my deaf colleague instead of waiting for the interpreter to finish.,interpersonal,base_synthetic
My friend stopped sharing in class because other students kept mocking his stutter.,interpersonal,base_synthetic
She assumed the Latina nurse was there to translate rather than provide medical care.,interpersonal,base_synthetic
He made fun of my thrifted clothes and said I looked like I came from a “charity bin.”,interpersonal,base_synthetic
A date told me my bisexuality made me untrustworthy.,interpersonal,base_synthetic
"My teammate acted surprised every time I performed well, as if competence from me was unexpected.",interpersonal,base_synthetic
"The landlord’s agent directed all questions to my husband, even though I was the one renting the apartment.",interpersonal,base_synthetic
They excluded my coworker from happy hour because they thought his sobriety would make things awkward.,interpersonal,base_synthetic
A classmate told me my scholarship was unfair because people like me “get special treatment.”,interpersonal,base_synthetic
She asked my friend if his service dog was just an excuse to bring a pet everywhere.,interpersonal,base_synthetic
He joked that women drivers are dangerous right after I parked the car.,interpersonal,base_synthetic
My peers treated my religious fasting like an inconvenience to their plans.,interpersonal,base_synthetic
A customer demanded to speak to someone “more qualified” after seeing that the technician was a young woman.,interpersonal,base_synthetic
They called my neighborhood “sketchy” after I mentioned where I grew up.,interpersonal,base_synthetic
My coworker kept using the wrong pronouns and then said I was making everyone uncomfortable by correcting him.,interpersonal,base_synthetic
She told me I should be grateful for any job because people from my background do not usually get opportunities.,interpersonal,base_synthetic
A group project member assumed I would do the decorating instead of the analysis because I am female.,interpersonal,base_synthetic
He stared at my skin condition throughout the conversation and barely listened to what I was saying.,interpersonal,base_synthetic
My friend was teased for bringing homemade food instead of buying lunch like everyone else.,interpersonal,base_synthetic
They asked whether I was “legal” after learning that my family immigrated here.,interpersonal,base_synthetic
A teacher complimented my son by saying he was “well-behaved for a boy like him.”,interpersonal,base_synthetic
She treated my grandmother like a child because she did not speak fluent English.,interpersonal,base_synthetic
My colleague joked that my traditional name was too difficult and gave me a nickname I never asked for.,interpersonal,base_synthetic
He assumed my family was poor because we use public transportation.,interpersonal,base_synthetic
A stranger told my sister that her headscarf made her look oppressed.,interpersonal,base_synthetic
The team ignored my suggestion until the most senior man repeated it with confidence.,interpersonal,base_synthetic
My friend was told he did not seem “gay enough” to understand queer issues.,interpersonal,base_synthetic
"She asked if my disability made dating impossible, as if my personal life was a public lesson.",interpersonal,base_synthetic
They laughed when I said I was the first in my family to attend college.,interpersonal,base_synthetic
A coworker said I only got promoted because the company wanted to look inclusive.,interpersonal,base_synthetic
"He kept comparing me to another person from my country, even though we have nothing in common.",interpersonal,base_synthetic
My classmates made jokes about my skin tone during a discussion that had nothing to do with race.,interpersonal,base_synthetic
The receptionist assumed I was there for financial aid instead of a faculty appointment.,interpersonal,base_synthetic
She told my friend his depression was just a lack of discipline.,interpersonal,base_synthetic
A neighbor avoided sharing the elevator with my father after seeing his turban.,interpersonal,base_synthetic
He mocked my pronunciation instead of responding to the point I was making.,interpersonal,base_synthetic
"My boss described me as “aggressive” for negotiating, while calling my male coworker confident for doing the same.",interpersonal,base_synthetic
They treated my single mother as irresponsible before learning anything about her life.,interpersonal,base_synthetic
A classmate said my culture was “too strict” after one brief conversation about my family.,interpersonal,base_synthetic
She asked whether I could handle the job because I use a cane.,interpersonal,base_synthetic
He made jokes about immigrants taking opportunities while sitting next to me at work.,interpersonal,base_synthetic
My peers stopped talking openly around me after they learned I was from a different religion.,interpersonal,base_synthetic
A store employee assumed my friend could not afford the item and suggested a cheaper section.,interpersonal,base_synthetic
She told me my voice sounded “too masculine” for a woman.,interpersonal,base_synthetic
They ignored the older applicant during the group interview and directed all technical questions to younger candidates.,interpersonal,base_synthetic
A coworker treated my quietness as evidence that I lacked leadership ability.,interpersonal,base_synthetic
He made me feel unwelcome by repeatedly questioning whether someone like me belonged in that space.,interpersonal,base_synthetic
I sometimes catch myself believing I have to sound less like my family to be taken seriously.,internalized,base_synthetic
"She felt embarrassed when her traditional clothes made her stand out, even though they once made her proud.",internalized,base_synthetic
He assumed his accent made him seem less intelligent before anyone had even judged him.,internalized,base_synthetic
I kept telling myself that people like me are not meant for leadership roles.,internalized,base_synthetic
They laughed at jokes about their own community because disagreeing felt too risky.,internalized,base_synthetic
I used to think being quiet about my identity made me more respectable.,internalized,base_synthetic
She blamed herself for needing accommodations and wondered if she was just being difficult.,internalized,base_synthetic
He avoided speaking his native language in public because he thought it made him seem uneducated.,internalized,base_synthetic
I felt proud when someone said I did not “act like” others from my background.,internalized,base_synthetic
They believed success meant distancing themselves from the neighborhood that raised them.,internalized,base_synthetic
I questioned whether my cultural traditions were holding me back.,internalized,base_synthetic
She felt ashamed of her body because she had absorbed the idea that only one kind of beauty mattered.,internalized,base_synthetic
"He thought asking for mental health support would make him weak, just like people had said about men in his family.",internalized,base_synthetic
I tried to erase parts of my identity because I thought acceptance required becoming less visible.,internalized,base_synthetic
"They secretly believed their community was too loud, too emotional, or too much.",internalized,base_synthetic
"I felt uncomfortable when people from my background spoke openly, because I had learned to value silence over honesty.",internalized,base_synthetic
She believed she had to outperform everyone just to prove she was not a stereotype.,internalized,base_synthetic
He saw his disability as a personal failure instead of part of how he moved through the world.,internalized,base_synthetic
I avoided foods from my culture because I thought they made me seem strange.,internalized,base_synthetic
They assumed their poverty meant they were less disciplined than people with more money.,internalized,base_synthetic
I felt guilty taking up space in rooms where people like me were rarely represented.,internalized,base_synthetic
She apologized for her religious practices even when no one had complained.,internalized,base_synthetic
He believed that being accepted meant hiding how much his family struggled financially.,internalized,base_synthetic
I sometimes felt less professional when I wore my natural hair.,internalized,base_synthetic
They minimized their own experiences because they thought others had “real” problems.,internalized,base_synthetic
I convinced myself that my community’s stories were less important than the ones taught in school.,internalized,base_synthetic
She felt uncomfortable using her real name because she believed it sounded too foreign.,internalized,base_synthetic
"He thought being emotional made him less masculine, even when he was simply being honest.",internalized,base_synthetic
"I felt embarrassed when my parents struggled with English, as if their effort reflected badly on me.",internalized,base_synthetic
They believed being disabled meant they should expect less from life.,internalized,base_synthetic
I rejected my own dialect because I thought it made me sound careless.,internalized,base_synthetic
She avoided talking about her sexuality because she had learned to see it as something private and shameful.,internalized,base_synthetic
He believed that people from his country were naturally behind others.,internalized,base_synthetic
"I thought I had to be grateful for any opportunity, even when I deserved better.",internalized,base_synthetic
They felt proud of being called “different” from others in their marginalized group.,internalized,base_synthetic
I treated my own cultural knowledge like it was less valuable than academic knowledge.,internalized,base_synthetic
She felt pressure to be agreeable because she believed women who spoke firmly were difficult.,internalized,base_synthetic
He wondered if his immigration background made him less capable of fitting into professional spaces.,internalized,base_synthetic
I avoided community events because I thought they made me seem less modern.,internalized,base_synthetic
