ID,Campus,Comments
15,Long Beach,"67. Effect of pre-requisite course sequencing

       This is one of my biggest concerns specially for the transfer students. The course I am teaching has heavy work load. Students can learn by solving a lot of problems which takes a long time. Unfortunately at the same time they take two or three other courses that have heavy work load because they need to take atleast 12 units and these are the only courses available to them. Since they don't have enough time they perform poorly and get discouraged.

69. Completion of online courses

The online courses during COVID has hurt students extensively. The average score in each class has dropped which I believe is a result of not learning in online courses. Even before COVID ,I used to survey knowledge of students in one of my courses. The prerequisite was offered both online and face to face. You could very easily see that the students taking it online were much less knowledgeable then the ones taking it face to face

73. Student expectation of course work rigor

Some students do not appreciate that some courses need a lot of work to be successful in. Although it is understandable that they have to work and have family responsibilities, not committing enough time to the course leads to their failure."
97,Long Beach,"15, 17, 19 are resonating with me. It is a common theme I see in my courses.  I have undergraduates in my courses that have not experience academic failure before, and the recovery from failure seems to follow a grieving process for them: denial, anger, bargaining, depression, acceptance."
22,Monterey Bay,"As a lecturer in the Master's in Social Program I have seen the following issues in the classroom

Number 34 Responsiveness of faculty to students

                      Students have remarked that some faculty are not timely in their responses to their emails and/or in grading assignments in a timely manner; some report that because of these delays they are not sure what their grade is and what they need to improve

Number 38 Faculty and staff diversity in relation to student diversity

                      When I first started teaching in 2016; students in my class often remarked the need for more Latina professors; at that time I was the only one in teaching in the program; thankfully our faculty and lecturers have become more diverse since 2016

Number 50 Need to work while in college

                      Several of our graduate students in the program have full time jobs and a family. So they often take the 7-10 pm classes ; many are tired by the time they come to class; so I try and adjust my teaching style to keep them engaged "
6,Northridge,"Wow, this is quite the list and it is hard to pick just three to write about since I have seen so many of these barriers present themselves in my classes.

48. Internet access at home. I am sure that we all experienced this during COVID/remote instructions. Many students had no or poor Internet (often due to the entire family needing to be online at the same time). I had students drive to Starbucks' parking lots to pick up on the Wi-Fi there in order to attend class or take exams. I can't even imagine how hard it must be to take an exam in your car.

58. Access to transportation. This is a big one right now especially due to the high price of gas. I had one student drop my class because he commutes from Bakersfield and it was his only class on Mondays and Wednesdays. He told me that he really wanted to stay enrolled, but it would cost his family hundreds of dollars in transportation costs if he did so. I have another student who rarely can make it to class because he shares one car with his parents and his parents don't prioritize his attending class. 

106. Ability to access all required courses. This is something that continually bothers me. We are on this big push to get our students to graduate within four years and yet the classes that they need to do so are full. My classes are enrolled to the physical capacity of the classroom so there isn't an available seat for someone who needs the class to stay on track to graduate. I have asked to cap enrollment to leave 2-3 extra seats so that those seats could then be given to students who need the course to graduate (rather than to students on the wait list who may or may not need to take the course that semester), but was told no. I think that this has to do with meeting FTE's, which, in my opinion, is not what should take priority."
94,Northridge,"In my courses, students have been most impacted by 83 (expectations of frequency of faculty interactions), 73 (student expectations of coursework rigor), and 50 (need to work while enrolled in college)--each overlapping quite a bit with surrounding disparities in the same categories. For my University 100 class, which serves all first-year students, I recently had a conversation about all of these issues, and it was enlightening--sometimes surprising--to hear about their experiences and expectations coming straight from high school.

For 83, it was most common for students to have a false expectation of my responsibilities to them as an instructor. What I mean by this is that they expect me to ""chase after"" them when they're missing assignments or not doing well in the class. Many are used to being in high school environments in which their teachers frequently contacted them, reminded them of work, and also allowed for constant late or make-up work.

73 and 50 are very closely tied together because many are working out of necessity. When I emphasized to students what our definition of a credit hour meant in terms of out-of-class work, they did not realize that a full-time course load equates to a full-time job. That said, it is unrealistic to be working 40 hours while trying to take 12-15 or more units during the semester, yet many of them are trying to juggle both. I have even had students miss class in order to work."
12,Sacramento,"I've identified a few obstacles within my academic courses, with three key ones being:

49: Ability to afford course materials: This issue arises when students are required to buy textbooks from the campus bookstore.

58: Access to transportation: Students occasionally miss classes because they lack reliable transportation to school.

89: Participation rates in undergraduate research: Some students miss out on the chance to engage in undergraduate research or find a mentor to help them access these resources."
27,San Bernardino,"There are a lot of barriers on here that I've seen impact students. It's really hard to pick only a few. (And the fact that I've not noticed all of these myself before now highlights the fact that these barriers are often ignored or considered to be the sole responsibility of the student, unfortunately.)

#1 High School Teacher Expectations: I'm tweaking this one a little to be ""High School Expectations and Opportunities."" I hope that's alright. Our BA Music major =does not require auditions; this is normal for a CSU I believe. But what we run into is a mismatch between student ability and faculty expectations that is not always helpful for the students. I see our ability to provide opportunities to all musicians (even the inexperienced ones) as a good thing, since we're covering an equity gap that students often experience in K-12: lack of access to quality training (music programs and lessons) and opportunities (honor bands, etc.), because they cost money and time. But it does cause a problem for some students when they arrive, because they have to catch up quickly, and not all of our faculty are willing to give them time to do so. 

#50 Need to Work While Enrolled in College: A lot of our students need to work--sometimes full time, sometimes at family businesses. We're a commuter college, so they often work farther away than is useful for their studies. This is related to issues of food and housing insecurity, of course, and causes an issue for students in terms of focus and time. There's definitely a difference in college experience between those privileged enough to work less and those who have to work for a living.

#64 Impact of Grading Practices: I have seen the benefit of alternative grading practices in our classrooms. I'm fairly new on my campus, and my first year, I taught my courses in the traditional manner--read, listen, test, and write papers. But my students were so anxious and overwhelmed (this was right after the pandemic, and again--many of them work a lot), that they weren't learning anything and they were frustrated with the class. They didn't do well at all. I've had good luck since with changing my grading policies to something that emphasizes one-on-one feedback and lack of ""grades"" (they still get a final grade, and I tell them how they're doing throughout). What's funny is that they do the same amount of work, but they don't deal with the same amount of anxiety. I'm sure that in my classes, at least, part of this is due to the fact that my students aren't the ones who thrived in a traditional grading environment in the first place, and they have a lot of other priorities (family, work, etc.). So the new approach worked for them, mostly. I'm still sussing out what's truly working and what isn't. (Definitely looking forward to a discussion of ungrading and alternative grading to get ideas from others!)"
139,San Bernardino,"As many have mentioned, it is difficult to only choose three barriers from the list as so many are prevalent in higher education today. I decided on the following for this activity:

50 - Need to work while enrolled in college - I know most of my undergraduate students hold two or three jobs while enrolled in classes, to support their family unit. Some may find it hard to balance their workload as an employee with a typical academic unit load (per term). They often make sacrifices within their educational career or classroom, in order to maintain employment or a steady income.

81 - Perceptions of time needed to study – I don’t believe my expectations align with my undergraduate students’ expectations, regarding how much time they should spend reviewing, reading, working on assignments, or studying for my courses. This is also different within my GE courses compared to my discipline specific courses.

115 - Impact and knowledge of transfer articulation credits – On our satellite campus, we have a high number of transfer students. Our transfer students have mentioned in the past that they received very little counseling or advisement at their community college, prior to arriving at CSUSB. I feel their appreciation when they are given simple tools to plan and project their graduation date, see which courses transfer in, help them prepare for graduate school or the workforce.
"
212,San Bernardino,"17) Student expectations of their ability to succeed. Many of my students have very low self-esteem, which impacts their willingness to take chances in their writing. In a field like creative writing, that significantly limits both their enjoyment and their ultimate products.

 

50) Need to work while enrolled in college. Most of my students work while in college. As they also do five subjects a semester, they don’t have much time for non-mandatory things, such as readings. As a creative-writing teacher, my classes are not considered very difficult, so they get pushed to the bottom of the priority list. This makes it hard to keep students informed of what’s expected in class.


58) Access to transportation. There have been issues with flooding and fires preventing students from attending my classes. One of the biggest factors involves the extent of commute. Students in the desert often have issues with wind, as well as car break downs, and the price of gas."
7,San Francisco,NA
95,San Francisco,"97 (student debt) - The student debt has many negative impacts on students’ lives. I have had students that their debt prevented them from forming families they would like to have. Also, some students withdrew from continuing investment in graduate education. The truth is student debt acts more like a drag on economy and lower one’s new worth.

91 (Experience during study abroad) - A couple of my students in the engineering classes chose to study abroad and experience new perspectives in their studies. This also provided them with opportunities on to navigate different cultures, work with diverse peers and communicate in other languages. Upon return, these skills prepared them for more challenging problems and made them more competitive in the job market.   

100 (participation rates in internships) – Students and recent graduates should embrace temporary opportunities which allow them to gain hands-on skills and work experience in less formal work environments. This can play as a medium to bigger or ideal job opportunities after graduation. In engineering more than 75% of first year students are expected to participated in internships but only 50% or so of senior students actually participate in internships. After the pandemic the participation rate in my classes has been steadily gearing up to 2 out of 5 students in the final year of the program."
